"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
35418,"ref","book","",1866,"E.","Haeckel","","","","",NA,"Generelle Morphologie der Organismen, Allgemeine Grundzuge der Organischen Formen-Wissenschaft, Mechanisch Begründet Durch die von Charles Darwin Reformirte Descendez-Theorie. Verlag von Georg Reimer, Berlin",NA,NA,NA,NA,NA,NA,"","","CLX","462","German","","auth"
45895,"ref","book","",1875,"E.","Haeckel","","","","",NA,"The History of Creation: or the development of the Earth and its inhabitants by the action of natural causes. A popular exposition of the doctrine of evolution in general, and of that of Darwin, Goethe, and Lamarck in particular. From the German […]. The translation revised by Professor E. Ray Lankester […]",NA,NA,NA,NA,NA,NA,"01-Feb","","","","English","","auth"
75350,"ref","journal article","Report on the Radiolaria collected by HMS Challenger during the years 1873-76",1887,"E.","Haeckel","","","","",NA,"Report of Scientific Results of Voyage of HMS Challenger during years 1883-86",NA,NA,NA,NA,NA,NA,"XVIII","","1","1803","English","","auth,class"
75356,"ref","journal article","Entwurf eines Radiolarien-Systems auf Grund von Studien der Challenger-Radiolarien",1882,"E.","Haeckel","","","","",NA,"Jenaische Zeitschrift für Naturwissenschaft",NA,NA,NA,NA,NA,NA,"15","","418","472","English","","auth,class"
81284,"ref","journal article","El desarrollo de la flora Micropaleontol",1956,"V.D.","Hammen","","","","",NA,"Columbiaus en los perindos geologieos",NA,NA,NA,NA,NA,NA,"29","","61","83","English","","auth,class"
42786,"ref","journal article","Micropaleontology of the Pennsylvanian Johns Valley shale of the Ouachita Mountains, Oklahoma, and its relationship to the Mississippian Caney shale",1933,"B. H.","Harlton","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"7","1","3","29","English","","auth,class"
55844,"ref","journal article","Some Pennsylvanian Foraminifera of the Glenn Formation of Southern Oklahoma",1927,"B. H.","Harlton","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"1","1","15","27","English","","auth"
15479,"ref","journal article","Upper Cretaceous and lower Paleocene diatom and silicoflagellate biostratigraphy of Seymour Island, eastern Antarctic Peninsula",1988,"D.","Harwood","","","","",NA,"Geological Society of America, Memoir",NA,NA,NA,NA,NA,NA,"169","","55","129","English","","auth,class"
73715,"ref","journal article","A history of the British Freshwater Algae (including descriptions of the Diatomaceae and Desmidiaceae) with upwards of one hundred Plates. I. Text",1845,"A.H.","Hassall","","","","",NA,"Taylor, Walton, and Maberly, London",NA,NA,NA,NA,NA,NA,"","","462 pp.","","English","","auth"
72431,"ref","journal article","Calcareous nannoplankton from Early Tertiary rocks at Point Labau, France and Paleocene-Early Eocene correlations",1967,"W. W.","Hay","H. P.","Mohler","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"41","6","1505","1541","English","","auth"
73056,"ref","journal article","Calcareous nannofossils from Nal'chik (northwest Caucasus)",1966,"W. W.","Hay","H. P.","Mohler","M. E. Wade","",NA,"Eclogae Geologicae Helvetiae",NA,NA,NA,NA,NA,NA,"59","","379","399","English","","auth"
73230,"ref","journal article","Electron microscope examination of some coccoliths from Donzacq (France)",1962,"W. W.","Hay","K. M.","Towe","","",NA,"Eclogae Geologicae Helvetiae",NA,NA,NA,NA,NA,NA,"55","","497","517","English","","auth"
47351,"ref","journal article","Geology of the Kawerua coastline, North Auckland",1972,"B. W.","Hayward","","","","",NA,"Tane",NA,NA,NA,NA,NA,NA,"18","","149","168","English","","class"
78393,"ref","journal article","Pliocene Albizia (Fabaceae) from Jharkhand, eastern India: reappraisal of its biogeography during the Cenozoic in Southeast Asia",2021,"T.","Hazra","M.","Hazra","R. A. Spicer, T. E. V. Spicer, S. Mahato, S. Bera, S. Kumar, M. Ali Khan","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"","","","","English","10.1016/j.palwor.2021.03.004","auth,class"
80594,"ref","journal article","Systematic descriptions, in Quercus yangyiensis sp. nov. from the late Pliocene of Baoshan, Yunnan and its paleoclimatic significance",2014,"Y. L.","He","N.","Li","B. N. Sun","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"88","3","738","747","English","10.1111/1755-6724.12234","auth,class"
80595,"ref","journal article","Quercus yangyiensis sp. nov. from the late Pliocene of Baoshan, Yunnan and its paleoclimatic significance",2014,"Y. L.","He","N.","Li","Z. X. Wang, H. F. Wang, G. L. Yang, L. Xiao, J. Y. Wu, B. N. Sun","",NA,"Acta Geologica Sinica",NA,NA,NA,NA,NA,NA,"88","3","738","747","English","10.1111/1755-6724.12234","auth,class"
55560,"ref","journal article","Stratigraphic palynology of selected mesozoic samples, DSDP Hole 327A and Site 330",1977,"R. W.","Hedlund","D.","Beju","","",NA,"Deep Sea Drealing Proyect",NA,NA,NA,NA,NA,NA,"XXXVI","","817","827","English","","auth,class"
73713,"ref","journal article","Conspectus criticus Diatomacearum Danicarum. Kritisk Oversigt over De Danske Diatomeer",1863,"P.A.C.","Heiberg","","","","",NA,"Wilhelm Priors Forlag, Kjøbenhavn",NA,NA,NA,NA,NA,NA,"","","135pp,6pls","","English","","auth"
48227,"ref","journal article","Early Cretaceous angiosperm pollen from a low latitude succession (Araripe Basin, NE Brazil)",2010,"U.","Heimhofer","P-A.","Hochuli","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"161","","105","126","English","10.1016/j.revpalbo.2010.03.010","auth"
66620,"ref","journal article","New marsileaceous fossils from the Late Cretaceous of South America and a reevaluation of Marsileaceaephyllum",2013,"E. J.","Hermsen","M. A.","Gandolfo","N. R. Cúneo","",NA,"Plant Systematics and Evolution",NA,NA,NA,NA,NA,NA,"300","2","369","386","English","10.1007/s00606-013-0886-7","auth,class"
