"reference_no","aff_country","samp_country"
68267,"United States","United States"
68267,"South Korea","United States"
68267,"Australia","United States"
80362,"China","China"
80371,"Russian Federation",NA
80371,"China",NA
80371,"South Africa",NA
80784,"China","China"
80784,"Austria","China"
80804,"China","China"
80804,"Austria","China"
80372,"Germany","China"
80372,"China","China"
80372,"Austria","China"
80372,"Russian Federation","China"
80372,"Czech Republic","China"
80745,"France",NA
80745,"Myanmar",NA
80747,"France","Myanmar (Burma)"
80747,"United States","Myanmar (Burma)"
80747,"Germany","Myanmar (Burma)"
80747,"Myanmar","Myanmar (Burma)"
87011,"China","China"
76896,"Argentina","Argentina"
75730,"Canada","Canada"
75730,"Belgium","Canada"
47758,"Argentina","Argentina"
47758,"Australia","Argentina"
47758,"United States","Argentina"
73379,"Germany",NA
86162,"Argentina","Argentina"
78391,"Colombia","Colombia"
78391,"United States","Colombia"
87619,"Japan",NA
73500,"India","India"
80379,"China","China"
80380,"China","China"
71626,"Chile","Chile"
71626,"Germany","Chile"
67093,"Russian Federation","Russia"
85124,"United States",NA
68925,"Germany","Chile"
85635,"Argentina","Argentina"
82808,"Ethiopia","Ethiopia"
82808,"United States","Ethiopia"
48205,"Argentina","Argentina"
72430,"Argentina","Argentina"
48010,"Argentina","Argentina"
85746,"Japan",NA
85746,"Argentina",NA
86056,"Argentina",NA
83596,"United States","United States"
43220,"Australia",NA
9019,"United Kingdom",NA
9019,"Netherlands",NA
48034,"Argentina","Argentina"
48037,"Argentina","Argentina"
55151,"Argentina","Argentina"
48033,"Argentina","Argentina"
72551,"Argentina","Argentina"
54957,"Argentina",NA
48043,"Argentina","Chile"
48043,"Chile","Chile"
76170,"China",NA
69296,"Austria","Tanzania"
69296,"United States","Tanzania"
69296,"Germany","Tanzania"
69296,"Italy","Tanzania"
48062,"United Kingdom",NA
86957,"United States","Australia"
86957,"Canada","Australia"
75229,"United States",NA
83245,"Spain","Morocco"
83245,"Ireland","Morocco"
83294,"Spain",NA
83294,"Germany",NA
86814,"Argentina","Argentina"
65306,"United States",NA
83096,"Belgium","Canada"
83096,"United Kingdom","Canada"
79690,"Spain","Spain"
79690,"Germany","Spain"
79690,"France","Spain"
74000,"India","India"
65724,"India","India"
48968,"Argentina","Argentina"
