reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
8995,serial monograph,"Flora of the Ravenscrag Formation (Paleocene), Southwestern Saskatchewan, Canada",1993,McIver,Palaeontographica Canadiana,,,Canada,,,,,,,,
9317,journal article,New anatomical characters in fossil coralline algae and their taxonomic implications,1993,Braga,Palaeontology,,,Spain,UK,USA,,,,,,
45083,journal article,"Neoproterozoic (Vendian) Phytoplankton from the Sieberian Platform, Yakutia",1993,Moczydlowska,Palaeontology,English,,Sweden,Russia,,,,,,,
85150,journal article,Marine phytoplankton of the world from class to genus,1993,Chrétiennot-Dinet,Phycologia,English,,France,,,,,,,,
47986,journal article,Eocene to Pliocene coralline algae in the Queensland Plateau (northeastern Australia),1993,Martín,"Proceedings of the Ocean Drilling Program, Scientific Results",English,,USA,Spain,,,,,,,
55559,journal article,"Aptian to Cenomanian palynomorphs from the Qarun 2-1 borehole, Western Desert, Egypt",1993,El Beialy,Qatar University Science Journal,English,,Qatar,,,,,,,,
78598,journal article,"Fossil flora from the Himalayan foot-hills of Darjeeling District, West Bengal and its palaeoecological and phytogeographical significance",1993,Antal,The Palaeobotanist,English,,India,,,,,,,,
41887,journal article,"Middle Permian foraminifers from Ban Nam Suai Tha Sa-at, Changwat Loei, northeast Thailand",1993,Ueno,"Transactions and Proceedings of the Paleontological Society of Japan, N.S.",English,,Japan,,,,,,,,
48164,journal article,"Estudio palinológico de la Formación Baqueró (Cretácico), Provincia de Santa Cruz, Argentina. VI",1994,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
57671,journal article,Algumas especies novas de graos de polen do Cretaceo Inferior do Nordeste do Brasil,1994,Dino,Boletim de geociencias da Petrobrás,Portugese,,Brazil,,,,,,,,
47703,serial monograph,"Paleobiology of the Neoproterozoic Svanbergfjellet Formation, Spitsbergen",1994,Butterfield,Fossils & Strata,English,,USA,,,,,,,,
69092,journal article,Lower Jurassic beds with bivalves in south Slovenia (Spodnjejurske plasti s školjkami v južni Sloveniji),1994,Buser,Geologija (Ljubljana),English,10.5474/geologija.1995.001,Slovenia,,,,,,,,
55216,book chapter,The Oligo-Miocene coal floras of southeastern Australia,1994,Blackburn,History of the Australian Vegetation: Cretaceous to Recent,English,,Australia,,,,,,,,
54802,book chapter,The early Tertiary macrofloras of continental Australia,1994,Christophel,History of the Australian Vegetation. Cretaceous to Recent,English,,Australia,,,,,,,,
57056,journal article,"Palynology of the Yesomma Formation in northern Somalia: A study of pollen, spores and associated phytoplankton from the Late Cretaceous Palmae Province",1994,Schrank,Palaeontographica Abt. B,English,,Germany,,,,,,,,
47732,journal article,"Algues calcaires de la zone de Resita-Moldova Noua (Carpathes méridionales, Roumanie)",1994,Bucur,Revue de Paléobiologie,French,,Romania,,,,,,,,
9719,journal article,"Oligocene coral and algal reef and related facies of Valzemola (Savona, NW Italy)",1994,Fravega,Rivista Italiana di Paleontologia e Stratigrafia,,,Italy,,,,,,,,
74170,book chapter,"Carbonate buildup in the Lakadong Formation of the South Shillong Plateau, NE India: A micropaleontological perspective ",1994,Jauhri,Studies on ecology and paleoecology of benthic communities,English,,India,,,,,,,,
6444,serial monograph,"The Megaflora from the Quantico Locality (Upper Albian), Lower Cretaceous Potomac Group of Virginia",1994,Upchurch,Virginia Museum of Natural History,,,USA,,,,,,,,
75360,book chapter,"Membrane heredity, symbiogenesis, and the multiple origins of algae",1995,Cavalier-Smith,Biodiversity and evolution,English,,Canada,,,,,,,,
7477,journal article,Palaeocarpological investigations in the Villafranchian (Pliocene) of Italy,1995,Mai,Bollettino Museo Regionale di Scienze Naturali,,,Germany,,,,,,,,
71506,serial monograph,"Keuper (Triassic) Flora from Middle Asia (Madygen, Southern Fergana)",1995,Dobruskina,Bulletin of the New Mexico Museum of Natural History & Science,English,,Israel,,,,,,,,
15344,abstract,Reefal buildups by dasycladacean algae in the Tithonian of Languedoc (France),1995,Bodeur,Coral Reefs in the Past Present and Future. Publ. Serv. Geol. Luxembourg,English,,France,,,,,,,,
6474,journal article,"A Cenomanian Flora from the Winton Formation, Eromanga Basin, Queensland, Australia",1995,McLoughlin,Memoirs of the Queensland Museam,,,Australia,,,,,,,,
32597,journal article,"Late Anisian-Early Ladinian radiolarians and conodonts from Smarna Gora near Ljubljana, Slovenia",1995,Ramovs,"Razprave Slovenska Akademija Znanosti in Umetnosti, Razred za Naravoslovne Vede",English,,Slovenia,,,,,,,,
12583,Ph.D. thesis,"Palökologische Verwertbarkeit oberjurassisch-unterkretazischer Radiolarienfaunen mit Beispielen aus Antarktis, Oman und Südalpen",1995,Kiessling,"Unpublished Ph.D. University of Erlangen, Germany",German,,Germany,,,,,,,,
44552,journal article,"Improntas foliares de una Lauraceae en la Formación Paraná (Mioceno Superior), en Villa Urquiza, Entre Ríos",1996,Aceñolaza,Ameghiniana,Spanish,,Argentina,,,,,,,,
48168,journal article,"Estudios palinológico de la Formación Baqueró (Cretácico), provincia de Santa Cruz, Argentina. VII",1996,Archangelsky,Ameghiniana,English,,Argentina,,,,,,,,
30600,journal article,"Well-preserved Tremadocian primitive Radiolaria from the Windfall Formation of the Antelope Range, Eureka County, Nevada, USA",1996,Kozur,Geol Paläont Mitt Innsbruck,English,,Hungary,Austria,USA,,,,,,
66877,journal article,"Die Bivalvenfauna des Oberen Famenniums West-Europas. 2. Evolution, Palaogeographie, Paiaookologie, Systematik. 2. Palaeotaxodonta und Anomalodesmata",1996,Amler,Geologica et Palaeontologica,English,,Germany,,,,,,,,
73721,journal article,Marine diatoms,1996,Hasle,"In: Tomas, C.R. (ed.), Identifying marine diatoms and dinoflagellates. Academic Press, Inc",English,,,,,,,,,,
65649,journal article,"Taxonomic names, in Permian fusulinids from the Koryak terrane, northeastern Russia, and their paleobiogeographic affinity",1996,Davydov,Journal of Foraminiferal Research,English,,Russia,USA,,,,,,,
215,,"Upper Cretaceous macrofossils from the Duwi Formation of the Nile Valley, southern Egypt",1996,Kassab,Neues Jahrbuch fuer Geologie und Palaeontologie-Abhandlungen,,,,,,,,,,,
78641,journal article,A catalogue of Cenozoic megafossil plants in China,1996,Liu,Palaeontographica Abteilung B,English,,China,Austria,,,,,,,
45894,journal article,New required suprageneric names in vascular plants,1996,Reveal,Phytologia,English,,USA,,,,,,,,
46420,journal article,"Palynomorph assemblage of the Chenque Formation, Late Oligocene?-Miocene from Golfo San Jorge Basin, Patagonia, Argentina. Part 3. Polycolpate and tricolporate pollen",1997,Barreda,Ameghiniana,English,,Argentina,,,,,,,,
46464,journal article,"Palinomorph assemblage of the Chenque Formation, Late Oligocene?- Miocene from Golfo San Jorge Basin, Patagonia, Argentina, Part 4: polycolporate and porate pollen",1997,Barreda,Ameghiniana,English,,Argentina,,,,,,,,
46494,journal article,"Palinoestratigrafía de la Formación San Julián en el área de Playa La Mina (provincia de Santa Cruz), Oligoceno de la Cuenca Austral",1997,Barreda,Ameghiniana,Spanish,,Argentina,,,,,,,,
18176,serial monograph,"Die Fauna des marinen Miozäns von Kevelaer (Niederrhein). Band 1 Foraminiferen, Anthozoen.",1997,Wienrich,"Backhuys Publishers, Leiden",German,,Germany,,,,,,,,
55130,journal article,"Evidence of Pleistocene plant extinction and diversity from Regatta Point, western Tasmania, Australia",1997,Jordan,Botanical Journal of the Linnean Society,English,10.1111/j.1095-8339.1997.tb01404.x,Australia,,,,,,,,
14024,journal article,Cenozoic calcareous nannoplankton classification,1997,Young,Journal of Nannoplankton Research,English,10.58998/jnr2278,UK,,,,,,,,
13966,journal article,Mesozoic calcareous nannoplankton classification.,1997,Bown,Journal of Nannoplankton Research.,English,10.58998/jnr2027,UK,,,,,,,,
19727,serial monograph,Primera evidencia de un área de alimentación de dinosaurios herbívoros en el Cretácico Inferior de España (Teruel) [First evidence of a feeding area of herbivorous dinosaurs in the Lower Cretaceous of Spain (Teruel)],1997,Ruiz-Omeñaca,"Monografias de la Academia de Ciencias Exactas, Fisicas, Quimicas y Naturales de Zaragoza",Spanish,,Spain,,,,,,,,
55128,journal article,"Estudio Palinológico de la Formación Pedro Luro (?Maastrichtiano-Paleoceno) en la Cuenca del Colorado, República Argentina. Parte 2: Turma Saccites, Plicates, Poroses e incertae Sedis",1997,Ruiz,Revista Española de Micropaleontología,Spanish,,Argentina,,,,,,,,
9410,book/book chapter,,1997,Kenrick,The Origin and Early Diversification of Land Plants: a Cladistic Study,,,,,,,,,,,
9168,journal article,The Salt Mountain Limestone of Alabama,1997,Bryan,Tulane Studies in Geology and Paleontology,English,,USA,,,,,,,,
2582,journal article,"The Oligocene Bridge Creek flora of the John Day Formation, Oregon",1997,Meyer,University of California Publications in Geological Sciences,English,,USA,,,,,,,,
