"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
48142,"ref","journal article","Palynology of the Lachman Crags Member, Santa Marta Formation (Upper Cretaceous) of north-west James Ross Island",1992,"J. M.","Keating","","","","",NA,"Antartic Science",NA,NA,NA,NA,NA,NA,"4","3","293","304","English","10.1017/s0954102092000452","auth,class","United Kingdom"
55592,"ref","journal article","The stratigraphical palynology of the Kotick Point and Whisky Bay formations, Gustav Group (Cretaceous), James Ross Island",1992,"J. M.","Keating","M.","Spencer-Jones","S. Newham","",NA,"Antarctic Science",NA,NA,NA,NA,NA,NA,"4","3","279","292","English","10.1017/s0954102092000440","auth,class","United Kingdom"
9199,"ref","journal article","Multikilometer-sized reefs built by foraminifera (Solenomeris) from the early Eocene of the Pyrenean domain (S. France, N.Spain): Palaeoecologic relations with coral reefs",1992,"J.-C.","Plaziat","C.","Perrin","","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"96","","195","231","","10.1016/0031-0182(92)90103-c","class","France"
38783,"ref","journal article","Species of the Cretaceous tree fern Tempskya from Utah",1992,"W. D.","Tidwell","N.","Hebbert","","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"153","3","513","528","English","10.1086/297057","auth","United States"
31141,"ref","journal article","A Carboniferous flora from the Surprise Canyon Formation in the Grand Canyon, Arizona",1992,"W. D.","Tidwell","J. R.","Jennings","S. S. Beus","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"66","6","1013","1021","English","10.1017/s0022336000020941","auth,class","United States"
8553,"ref","journal article","Reproductive and vegetative structure of Nordenskioldia (Trochodendraceae), a vesselless dicotyledon from the Early Tertiary of the northern hemisphere",1991,"P. R.","Crane","S. R.","Manchester","","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"78","10","1311","1334","","10.2307/2445271","auth,class","United States"
82873,"ref","journal article","Shelf-facies microfossils from the Uluksan Group (Proterozoic Bylot Supergroup), Baffin Island, Canada",1991,"H. J.","Hofmann","G. D.","Jackson","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"65","","361","382","English","10.1017/s0022336000030353","auth,class","Canada"
85136,"ref","journal article","Taxonomy, Phylogenetics and Biochronology of Single-Keeled Globotruncanids (Genus Globotruncanita Reiss)",1991,"J. F.","Longoria","A. E.","VonFeldt","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"37","3","197","243","English","10.2307/1485888","auth,class","United States"
9063,"ref","journal article","Coral-stromatolite reef framework, upper Miocene, Almeria, Spain",1991,"R.","Riding","J. M.","Martin","J. C. Braga","",NA,"Sedimentology",NA,NA,NA,NA,NA,NA,"38","5","799","818","English","10.1111/j.1365-3091.1991.tb01873.x","auth","Spain;United Kingdom"
77554,"ref","journal article","An Upper Permian coiled radiolarian from Itsukaichi, central Japan",1991,"K.","Sashida","K.","Tonishi","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"37","1","86","94","English","10.2307/1485747","auth,class","Japan"
59173,"ref","journal article","Palynostratigraphy of Upper Cretaceous sediments, Meghalaya, northeastern India",1990,"B.","Nandi","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"65","","119","129","English","10.1016/0034-6667(90)90063-o","auth,class","India"
