"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
23521,"ref","journal article","Late Hauterivian coralline algae (Rhodophyta, Corallinales) from the Iberian Chain (E Spain). Taxonomy and the evolution of multisporangial reproductive structures",2007,"S.","Tomas","J.","Aguirre","J. C. Braga, C. Martín-Closas","",NA,"Facies",NA,NA,NA,NA,NA,NA,"53","1","79","95","English","10.1007/s10347-006-0088-7","class","Spain"
23821,"ref","journal article","Woodland in a fluvio-lacustrine environment on the dry Mongolian Plateau during the late Paleocene: Evidence from the mammal bearing Subeng section (Inner Mongolia, P.R. China)",2007,"J.","Van Itterbeeck","P.","Missiaen","A. Folie, V. S. Markevich, D. Van Damme, D.-Y. Guo, T. Smith","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"243","01-Feb","55","78","English","10.1016/j.palaeo.2006.07.005","auth","Russian Federation;Belgium;China"
33101,"ref","journal article","Structurally preserved Zamites bayeri Kvacek from the Coniacian Kashima Formation (Yezo Group) of Hokkaido, Japan",2007,"T.","Yamada","","","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"2009","","1","6","English","10.1016/j.cretres.2009.07.007","auth,class","Japan"
26227,"ref","journal article","Significance of microbialites, calcimicrobes, and calcareous algae in reefal framework formation from the Silurian of Gotland, Sweden",2006,"M.","Nose","D. U.","Schmid","R. R. Leinfelder","",NA,"Sedimentary Geology",NA,NA,NA,NA,NA,NA,"192","","243","265","English","10.1016/j.sedgeo.2006.04.009","auth,class","Germany"
32451,"ref","journal article","Identification of the Guadalupian-Lopingian boundary in the Permian in a bedded chert sequence, south China",2006,"D.","Sun","W.","Xia","","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"236","","272","289","English","10.1016/j.palaeo.2005.11.010","auth,class","China"
50169,"ref","journal article","Middle Triassic (Anisian) ferns from Kühwiesenkopf (Monte Prá Della Vacca), Dolomites, Northern Italy",2006,"J. H. A.","Van Konijnenburg-van Cittert","E.","Kustatscher","M. Wachtler","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"49","5","943","968","English","10.1111/j.1475-4983.2006.00591.x","auth","Netherlands;Italy"
39165,"ref","journal article","The new higher level classification of eukaryotes with emphasis on the taxonomy of protists",2005,"S. M.","Adl","A. G. B.","Simpson","M. A. Farmer, R. A. Andersen, O. R. Anderson, J. R. Barta, S. S. Bowser, G. Brugerolle, R. A. Fensome, S. Frederico, T. Y. James, S. Karpov, P. Kugrens, J. Krug, C. E. Lane, L. A. Lewis, J. Lodge, D. H. Lynn, D. G. Mann, R. M. McCourt, L. Mendoza","",NA,"Journal of Eukaryotic Microbiology",NA,NA,NA,NA,NA,NA,"52","5","399","451","English","10.1111/j.1550-7408.2005.00053.x","auth,class","United States;Canada;France;Russian Federation;Denmark;United Kingdom;Puerto Rico"
25986,"ref","journal article","Falsocalcifolium nov. gen. and revision of the tribe Calcifolieae (Mississippian, incertae sedis algae)",2005,"D.","Vachard","P.","Cozar","","",NA,"Geobios",NA,NA,NA,NA,NA,NA,"38","6","803","822","English","10.1016/j.geobios.2004.05.004","auth","France;Spain"
29168,"ref","journal article","Basal Cambrian microfossils from the Yurtus and Xishanblaq Formations (Tarim, North-West China): Systematic revision and biostratigraphic correlaton of Micrhystridium-like acritarchs",2005,"J.","Yao","S.","Xiao","L. Yin, G. Li, X. Yuan.","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"48","4","687","708","English","10.1111/j.1475-4983.2005.00484.x","auth","United States;China"
25337,"ref","journal article","Ecology of extant nummulitids and other larger benthic foraminifera: applications in palaeoenvironmental analysis",2004,"S. J.","Beavington-Penney","A.","Racey","","",NA,"Earth-Science Reviews",NA,NA,NA,NA,NA,NA,"67","","219","265","English","10.1016/j.earscirev.2004.02.005","auth,class","Netherlands;United Kingdom"
13586,"ref","journal article","Dating the Lower Cretaceous in the Organyà section (Catalan Pyrenees, NE Spain): a reinterpretation",2004,"M. A.","Conrad","R.","Schroeder","B. Clavel, J. Charollais, R. Busnardo, A. Cherchi, D. Decrouez","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"25","1","35","41","","10.1016/j.cretres.2003.10.004","auth,class","France;Germany;Italy;Switzerland"
30578,"ref","journal article","Early Carboniferous radiolarians from north-west Thailand: paleogeographical implications",2004,"Q.","Feng","D.","Helmcke","C. Chonglakmani, R. Ingavat-Helmcke, B. Liu","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"47","2","377","393","English","10.1111/j.0031-0239.2004.00370.x","class","Germany;Thailand;China"
25987,"ref","journal article","Biostratigraphical precisions on the Early Serpukhovian (Late Mississippian), by means of a carbonate algal microflora (cyanobacteria, algae and pseudo-algae) from La Serre (Montagne Noire, France)",2004,"D.","Vachard","M.","Aretz","","",NA,"Geobios",NA,NA,NA,NA,NA,NA,"37","5","643","666","English","10.1016/j.geobios.2003.05.008","auth,class","France;Germany"
25993,"ref","journal article","Neoprincipia nov. gen., a new Mississippian red alga, and remarks on the Archaeolithophyllaceae (Rhodophyta)",2003,"P.","Cozar","D.","Vachard","","",NA,"Geobios",NA,NA,NA,NA,NA,NA,"36","5","505","517","English","10.1016/s0016-6995(03)00060-3","auth","France;Spain"
9608,"ref","journal article","Calcareous algae (""Porostromata"", Rhodophyta, Dasycladales) and microproblematica with algal affinity from the NW German Korallenoolith Formation (Oxfordian, Süntel Mountains)",2003,"C.","Helm","I.","Schülke","F. Schlagintweit","",NA,"Facies",NA,NA,NA,NA,NA,NA,"49","","61","86","","10.1007/s10347-003-0025-y","auth,class","Germany"
19792,"ref","journal article","Biostratigraphy of Late Paleocene- Middle Eocene radiolarians and foraminifera from Cyprus",2003,"A.","Sanfilippo","A.","Hakyemez","U.K. Tekin","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"49","01-Feb","47","64","English","10.2113/49.1.47","auth","United States;Turkey"
